,Image ID,Length [nm],Mean per image,Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
136,1,25.9,,1.0,,,,,
137,1,109.5,,1.0,,,,,
138,1,22.6,,1.0,,,,,
139,1,35.9,,1.0,,,,,
140,1,21.4,,1.0,,,,,
141,1,25.7,,1.0,,,,,
142,1,23.5,,1.0,,,,,
143,1,27.9,,1.0,,,,,
144,1,18.7,,1.0,,,,,
145,1,36.5,,1.0,,,,,
146,1,17.8,,1.0,,,,,
147,1,23.1,,1.0,,,,,
148,1,22.1,,1.0,,,,,
149,1,65.9,,1.0,,,,,
150,1,23.5,,1.0,,,,,
151,1,25.3,,1.0,,,,,
152,1,33.7,,1.0,,,,,
153,1,20.1,,1.0,,,,,
154,1,94.2,,1.0,,,,,
155,1,16.6,,1.0,,,,,
156,1,41.1,,0.999,,,,,
157,1,15.9,,0.999,,,,,
158,1,29.7,,0.999,,,,,
159,1,42.4,,0.999,,,,,
160,1,90.3,,0.999,,,,,
161,1,22.1,,0.999,,,,,
162,1,16.6,,0.999,,,,,
163,1,35.0,,0.999,,,,,
164,1,29.7,,0.999,,,,,
165,1,79.6,,0.999,,,,,
166,1,66.2,,0.999,,,,,
167,1,31.5,,0.999,,,,,
168,1,29.7,,0.999,,,,,
169,1,33.5,,0.999,,,,,
170,1,25.7,,0.999,,,,,
171,1,19.6,,0.999,,,,,
172,1,12.4,,0.999,,,,,
173,1,23.7,,0.999,,,,,
174,1,32.1,,0.999,,,,,
175,1,26.3,,0.999,,,,,
176,1,45.3,,0.999,,,,,
177,1,20.0,,0.999,,,,,
178,1,16.7,,0.998,,,,,
179,1,26.7,,0.998,,,,,
180,1,22.0,,0.998,,,,,
181,1,16.9,,0.998,,,,,
182,1,75.3,,0.998,,,,,
183,1,30.3,,0.998,,,,,
184,1,63.2,,0.998,,,,,
185,1,30.4,,0.998,,,,,
186,1,26.5,,0.998,,,,,
187,1,55.2,,0.998,,,,,
188,1,16.6,,0.998,,,,,
189,1,16.1,,0.997,,,,,
190,1,24.4,,0.997,,,,,
191,1,32.4,,0.997,,,,,
192,1,18.2,,0.997,,,,,
193,1,47.0,,0.997,,,,,
194,1,44.6,,0.997,,,,,
195,1,16.6,,0.997,,,,,
196,1,20.8,,0.997,,,,,
197,1,13.4,,0.997,,,,,
198,1,30.0,,0.997,,,,,
199,1,37.2,,0.997,,,,,
200,1,9.7,,0.997,,,,,
201,1,18.7,,0.997,,,,,
202,1,20.0,,0.997,,,,,
203,1,27.2,,0.996,,,,,
204,1,35.7,,0.996,,,,,
205,1,58.4,,0.996,,,,,
206,1,40.4,,0.996,,,,,
207,1,31.9,,0.996,,,,,
208,1,70.6,,0.996,,,,,
209,1,26.9,,0.996,,,,,
210,1,24.2,,0.995,,,,,
211,1,22.1,,0.995,,,,,
212,1,42.8,,0.995,,,,,
213,1,30.6,,0.995,,,,,
214,1,13.1,,0.995,,,,,
215,1,20.0,,0.995,,,,,
216,1,12.4,,0.995,,,,,
217,1,65.0,,0.995,,,,,
218,1,17.3,,0.995,,,,,
219,1,27.7,,0.995,,,,,
220,1,40.9,,0.994,,,,,
221,1,42.3,,0.994,,,,,
222,1,30.2,,0.994,,,,,
223,1,34.2,,0.994,,,,,
224,1,28.3,,0.994,,,,,
225,1,26.9,,0.993,,,,,
226,1,26.3,,0.993,,,,,
227,1,33.4,,0.993,,,,,
228,1,24.3,,0.993,,,,,
229,1,17.3,,0.993,,,,,
230,1,18.6,,0.991,,,,,
231,1,18.8,,0.991,,,,,
232,1,24.1,,0.991,,,,,
233,1,21.8,,0.99,,,,,
234,1,17.2,,0.99,,,,,
235,1,17.1,,0.99,,,,,
236,1,36.7,,0.989,,,,,
237,1,20.0,,0.989,,,,,
238,1,22.4,,0.989,,,,,
239,1,82.2,,0.988,,,,,
240,1,33.8,,0.988,,,,,
241,1,18.7,,0.987,,,,,
242,1,28.6,,0.987,,,,,
243,1,17.3,,0.986,,,,,
244,1,19.5,,0.985,,,,,
245,1,26.3,,0.984,,,,,
246,1,30.9,,0.982,,,,,
247,1,33.4,,0.981,,,,,
248,1,20.0,,0.979,,,,,
249,1,41.0,,0.979,,,,,
250,1,19.3,,0.979,,,,,
251,1,20.0,,0.979,,,,,
