,Image ID,Length [nm],Mean per image,Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
352,2,14.7,,0.577,,,,,
353,2,16.0,,0.555,,,,,
354,2,24.8,,0.599,,,,,
355,2,31.9,,0.596,,,,,
356,2,14.9,,0.532,,,,,
357,2,26.7,,0.59,,,,,
358,2,13.6,,0.571,,,,,
359,2,24.3,,0.636,,,,,
360,2,31.5,,0.713,,,,,
361,2,44.3,,0.687,,,,,
362,2,20.8,,0.615,,,,,
363,2,16.3,,0.554,,,,,
364,2,13.7,,0.58,,,,,
365,2,23.4,,0.687,,,,,
366,2,55.8,,0.684,,,,,
367,2,51.4,,0.634,,,,,
368,2,16.4,,0.545,,,,,
369,2,25.7,,0.556,,,,,
370,2,24.7,,0.558,,,,,
371,2,20.2,,0.55,,,,,
372,2,16.7,,0.55,,,,,
373,2,23.6,,0.687,,,,,
374,2,16.3,,0.643,,,,,
375,3,18.2,,0.721,,,,,
376,3,25.5,,0.694,,,,,
377,3,12.2,,0.559,,,,,
378,3,18.9,,0.556,,,,,
379,3,30.9,,0.609,,,,,
380,3,15.6,,0.59,,,,,
381,3,34.0,,0.577,,,,,
382,3,40.0,,0.631,,,,,
383,3,18.9,,0.649,,,,,
384,3,17.9,,0.556,,,,,
385,3,28.2,,0.603,,,,,
386,3,23.4,,0.635,,,,,
387,3,13.5,,0.556,,,,,
388,3,37.0,,0.608,,,,,
389,3,29.3,,0.577,,,,,
390,3,19.1,,0.606,,,,,
391,3,19.6,,0.56,,,,,
392,3,23.6,,0.61,,,,,
393,3,23.4,,0.562,,,,,
394,3,22.5,,0.587,,,,,
395,3,21.5,,0.586,,,,,
396,3,20.4,,0.572,,,,,
397,3,39.8,,0.561,,,,,
398,3,35.4,,0.623,,,,,
399,3,21.2,,0.722,,,,,
400,3,24.5,,0.587,,,,,
401,3,22.1,,0.605,,,,,
402,3,21.8,,0.603,,,,,
403,3,37.7,,0.606,,,,,
404,3,21.4,,0.566,,,,,
405,3,29.0,,0.585,,,,,
406,3,18.0,,0.622,,,,,
407,3,15.3,,0.514,,,,,
408,3,15.2,,0.566,,,,,
409,3,50.4,,0.668,,,,,
410,3,57.6,,0.672,,,,,
411,3,6.7,,0.521,,,,,
412,3,175.6,,0.653,,,,,
413,3,27.5,,0.58,,,,,
414,3,118.5,,0.644,,,,,
415,3,68.2,,0.602,,,,,
416,3,17.5,,0.522,,,,,
417,3,20.3,,0.665,,,,,
418,3,18.8,,0.596,,,,,
419,3,6.8,,0.542,,,,,
420,3,34.3,,0.593,,,,,
421,3,23.2,,0.698,,,,,
422,3,16.5,,0.642,,,,,
423,3,20.9,,0.609,,,,,
424,3,24.0,,0.604,,,,,
425,3,27.0,,0.67,,,,,
426,3,29.8,,0.656,,,,,
427,3,44.3,,0.573,,,,,
428,3,16.0,,0.538,,,,,
429,3,37.3,,0.638,,,,,
430,3,6.2,,0.51,,,,,
431,3,75.7,,0.611,,,,,
432,3,18.0,,0.555,,,,,
433,3,20.1,,0.578,,,,,
434,3,26.4,,0.664,,,,,
435,3,21.5,,0.654,,,,,
436,3,22.5,,0.567,,,,,
437,3,27.6,,0.597,,,,,
438,3,15.9,,0.556,,,,,
439,3,28.4,,0.641,,,,,
440,3,24.5,,0.602,,,,,
441,3,16.4,,0.633,,,,,
442,3,35.9,,0.675,,,,,
443,3,21.5,,0.561,,,,,
444,3,8.5,,0.558,,,,,
445,3,21.1,,0.544,,,,,
446,3,27.3,,0.553,,,,,
447,3,18.8,,0.606,,,,,
448,3,20.4,,0.579,,,,,
449,3,59.2,,0.6,,,,,
450,3,26.5,,0.631,,,,,
451,3,36.2,,0.669,,,,,
452,3,77.7,,0.597,,,,,
453,3,23.3,,0.528,,,,,
454,3,27.2,,0.565,,,,,
455,3,92.6,,0.684,,,,,
456,3,18.1,,0.62,,,,,
457,3,22.2,,0.581,,,,,
458,3,15.2,,0.575,,,,,
459,3,8.0,,0.516,,,,,
460,3,21.9,,0.656,,,,,
461,3,18.4,,0.556,,,,,
462,3,21.9,,0.689,,,,,
463,3,45.0,,0.593,,,,,
464,3,22.3,,0.612,,,,,
465,3,18.2,,0.565,,,,,
466,3,22.3,,0.564,,,,,
467,3,20.8,,0.658,,,,,
468,3,11.9,,0.533,,,,,
469,3,31.9,,0.707,,,,,
470,3,11.4,,0.545,,,,,
471,3,16.4,,0.54,,,,,
472,3,17.0,,0.559,,,,,
473,3,33.7,,0.71,,,,,
474,3,30.8,,0.634,,,,,
475,3,24.7,,0.544,,,,,
476,3,26.7,,0.672,,,,,
477,3,4.7,,0.535,,,,,
478,3,14.7,,0.575,,,,,
479,3,33.2,,0.614,,,,,
480,3,21.6,,0.611,,,,,
481,3,41.6,,0.584,,,,,
482,3,18.1,,0.598,,,,,
483,3,30.0,,0.562,,,,,
484,3,16.6,,0.528,,,,,
485,3,32.1,,0.604,,,,,
486,3,23.7,,0.657,,,,,
487,3,29.9,,0.661,,,,,
488,3,34.1,,0.591,,,,,
489,3,28.5,,0.607,,,,,
490,3,17.4,,0.583,,,,,
491,3,11.6,,0.599,,,,,
492,4,18.3,,0.553,,,,,
493,4,20.3,,0.607,,,,,
494,4,8.7,,0.55,,,,,
495,4,30.0,,0.644,,,,,
496,4,13.0,,0.523,,,,,
497,4,29.9,,0.662,,,,,
498,4,19.0,,0.555,,,,,
499,4,22.0,,0.572,,,,,
500,4,17.4,,0.606,,,,,
501,4,19.4,,0.562,,,,,
502,4,32.7,,0.532,,,,,
503,4,24.8,,0.664,,,,,
504,4,23.2,,0.641,,,,,
505,4,18.1,,0.602,,,,,
506,4,18.1,,0.548,,,,,
507,4,27.8,,0.618,,,,,
508,4,19.2,,0.641,,,,,
509,4,16.9,,0.623,,,,,
510,4,46.5,,0.68,,,,,
511,4,23.6,,0.676,,,,,
512,4,36.3,,0.589,,,,,
513,4,25.7,,0.682,,,,,
514,4,22.8,,0.537,,,,,
515,4,20.5,,0.62,,,,,
516,4,30.5,,0.667,,,,,
517,4,30.1,,0.689,,,,,
518,4,13.3,,0.532,,,,,
519,4,24.8,,0.656,,,,,
520,4,19.2,,0.583,,,,,
521,4,20.5,,0.629,,,,,
522,4,18.4,,0.626,,,,,
523,4,12.4,,0.568,,,,,
524,4,22.6,,0.549,,,,,
525,4,70.6,,0.589,,,,,
526,4,4.9,,0.534,,,,,
527,4,32.0,,0.673,,,,,
528,4,10.6,,0.51,,,,,
529,4,13.4,,0.519,,,,,
530,4,36.8,,0.718,,,,,
531,4,41.6,,0.563,,,,,
532,4,13.9,,0.55,,,,,
533,4,21.7,,0.519,,,,,
534,4,48.7,,0.653,,,,,
535,4,31.7,,0.685,,,,,
536,4,20.6,,0.673,,,,,
537,4,19.6,,0.577,,,,,
538,4,26.3,,0.698,,,,,
539,4,36.0,,0.561,,,,,
540,4,13.4,,0.533,,,,,
541,4,15.8,,0.591,,,,,
542,4,5.6,,0.515,,,,,
543,4,17.2,,0.595,,,,,
544,4,17.8,,0.612,,,,,
545,4,51.8,,0.613,,,,,
546,4,12.6,,0.563,,,,,
547,4,22.9,,0.723,,,,,
548,4,71.3,,0.629,,,,,
549,4,20.9,,0.544,,,,,
550,4,15.8,,0.533,,,,,
551,4,17.4,,0.591,,,,,
552,4,18.7,,0.566,,,,,
553,4,21.0,,0.628,,,,,
554,4,15.6,,0.614,,,,,
555,4,33.1,,0.732,,,,,
556,4,30.4,,0.606,,,,,
557,4,28.7,,0.572,,,,,
558,4,16.0,,0.57,,,,,
559,4,30.2,,0.683,,,,,
560,4,107.9,,0.683,,,,,
561,4,24.7,,0.708,,,,,
562,4,16.1,,0.578,,,,,
563,4,13.5,,0.551,,,,,
564,4,25.9,,0.701,,,,,
565,4,34.6,,0.688,,,,,
566,4,33.6,,0.673,,,,,
567,4,30.8,,0.712,,,,,
568,4,34.0,,0.646,,,,,
569,4,22.2,,0.631,,,,,
570,4,18.8,,0.679,,,,,
571,4,26.6,,0.681,,,,,
572,4,48.0,,0.642,,,,,
573,4,27.7,,0.557,,,,,
574,4,8.3,,0.525,,,,,
575,4,16.3,,0.582,,,,,
576,4,19.5,,0.595,,,,,
577,4,29.6,,0.725,,,,,
578,4,26.7,,0.642,,,,,
579,4,19.4,,0.522,,,,,
580,4,42.1,,0.573,,,,,
581,4,28.3,,0.641,,,,,
582,4,35.6,,0.677,,,,,
583,4,22.3,,0.697,,,,,
584,4,24.7,,0.632,,,,,
585,4,27.5,,0.695,,,,,
586,4,18.1,,0.546,,,,,
587,4,18.9,,0.592,,,,,
588,4,36.2,,0.577,,,,,
589,4,21.6,,0.54,,,,,
590,4,14.0,,0.583,,,,,
591,4,27.2,,0.64,,,,,
592,4,12.7,,0.546,,,,,
593,4,24.0,,0.608,,,,,
594,4,21.9,,0.64,,,,,
595,4,32.0,,0.699,,,,,
596,4,24.5,,0.703,,,,,
597,4,26.6,,0.584,,,,,
598,4,35.9,,0.69,,,,,
599,4,26.2,,0.697,,,,,
600,4,33.6,,0.743,,,,,
601,4,19.0,,0.702,,,,,
602,4,18.7,,0.535,,,,,
603,4,15.6,,0.533,,,,,
604,4,15.6,,0.538,,,,,
605,4,19.6,,0.611,,,,,
606,4,20.6,,0.563,,,,,
607,4,18.4,,0.531,,,,,
608,4,56.0,,0.647,,,,,
609,4,16.3,,0.555,,,,,
610,4,23.7,,0.569,,,,,
611,4,7.8,,0.528,,,,,
612,4,5.6,,0.534,,,,,
613,5,30.1,,0.589,,,,,
614,5,9.3,,0.561,,,,,
615,5,21.5,,0.554,,,,,
616,5,19.5,,0.648,,,,,
617,5,13.7,,0.565,,,,,
618,5,17.0,,0.611,,,,,
619,5,33.4,,0.652,,,,,
620,5,15.9,,0.572,,,,,
621,5,18.1,,0.582,,,,,
622,5,34.5,,0.643,,,,,
623,5,23.7,,0.595,,,,,
624,5,40.7,,0.699,,,,,
625,5,17.4,,0.607,,,,,
626,5,20.8,,0.568,,,,,
627,5,35.6,,0.666,,,,,
628,5,32.0,,0.68,,,,,
629,5,23.0,,0.734,,,,,
630,5,19.2,,0.638,,,,,
631,5,27.1,,0.552,,,,,
632,5,26.7,,0.556,,,,,
633,5,27.3,,0.708,,,,,
634,5,29.2,,0.589,,,,,
635,5,23.6,,0.583,,,,,
636,5,21.0,,0.659,,,,,
637,5,20.2,,0.586,,,,,
638,5,110.5,,0.601,,,,,
639,5,53.9,,0.661,,,,,
640,5,26.4,,0.556,,,,,
641,5,4.9,,0.537,,,,,
642,5,5.2,,0.527,,,,,
643,5,25.4,,0.742,,,,,
644,5,17.1,,0.559,,,,,
645,5,18.1,,0.616,,,,,
646,5,25.1,,0.656,,,,,
647,5,25.7,,0.705,,,,,
648,5,26.0,,0.641,,,,,
649,5,25.1,,0.735,,,,,
650,5,21.6,,0.571,,,,,
651,5,42.5,,0.619,,,,,
652,5,23.3,,0.62,,,,,
653,5,19.8,,0.605,,,,,
654,5,20.7,,0.715,,,,,
655,5,16.5,,0.587,,,,,
656,5,29.8,,0.745,,,,,
657,5,27.2,,0.686,,,,,
658,5,19.9,,0.602,,,,,
659,5,18.6,,0.597,,,,,
660,5,17.9,,0.686,,,,,
661,5,39.2,,0.712,,,,,
662,5,29.6,,0.675,,,,,
663,5,23.0,,0.651,,,,,
664,5,21.1,,0.605,,,,,
665,5,21.1,,0.711,,,,,
666,5,24.1,,0.683,,,,,
667,5,22.1,,0.584,,,,,
668,5,32.7,,0.731,,,,,
669,5,31.2,,0.7,,,,,
670,5,12.3,,0.544,,,,,
671,5,39.0,,0.693,,,,,
672,5,22.6,,0.539,,,,,
673,5,19.0,,0.649,,,,,
674,5,14.1,,0.638,,,,,
