,Image ID,Cross section DF [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
256,0,150.4,,0.587,,,,,
257,0,210.7,,0.587,,,,,
258,0,176.5,,0.587,,,,,
259,0,174.7,,0.586,,,,,
260,0,191.7,,0.586,,,,,
261,0,212.6,,0.586,,,,,
262,0,186.5,,0.586,,,,,
263,0,212.1,,0.586,,,,,
264,0,133.7,,0.586,,,,,
265,0,164.9,,0.586,,,,,
266,0,186.1,,0.586,,,,,
267,0,174.0,,0.585,,,,,
268,0,150.2,,0.585,,,,,
269,0,175.8,,0.585,,,,,
270,0,176.4,,0.585,,,,,
271,0,209.9,,0.585,,,,,
272,0,252.0,,0.585,,,,,
273,0,208.6,,0.585,,,,,
274,0,166.9,,0.585,,,,,
275,0,231.4,,0.584,,,,,
276,0,259.3,,0.584,,,,,
277,0,199.9,,0.584,,,,,
278,0,183.0,,0.584,,,,,
279,0,143.9,,0.584,,,,,
280,0,98.5,,0.584,,,,,
281,0,181.2,,0.583,,,,,
282,0,126.2,,0.583,,,,,
283,0,191.8,,0.583,,,,,
284,0,350.1,,0.583,,,,,
285,0,276.3,,0.583,,,,,
286,0,362.8,,0.583,,,,,
287,0,230.0,,0.583,,,,,
288,0,340.9,,0.583,,,,,
289,0,87.1,,0.583,,,,,
290,0,227.8,,0.583,,,,,
291,0,257.3,,0.582,,,,,
292,0,185.1,,0.582,,,,,
293,0,190.8,,0.582,,,,,
294,0,223.5,,0.582,,,,,
295,0,173.3,,0.582,,,,,
296,0,318.2,,0.582,,,,,
297,0,231.8,,0.582,,,,,
298,0,237.5,,0.582,,,,,
299,0,347.5,,0.581,,,,,
300,0,203.0,,0.581,,,,,
301,0,188.9,,0.581,,,,,
302,0,199.2,,0.58,,,,,
303,0,150.1,,0.58,,,,,
304,0,172.8,,0.58,,,,,
305,0,175.6,,0.58,,,,,
306,0,160.9,,0.58,,,,,
307,0,217.9,,0.58,,,,,
308,0,345.6,,0.58,,,,,
309,0,306.3,,0.58,,,,,
310,0,197.5,,0.58,,,,,
311,0,217.1,,0.58,,,,,
312,0,249.7,,0.579,,,,,
313,0,277.2,,0.579,,,,,
314,0,228.4,,0.579,,,,,
315,0,370.9,,0.579,,,,,
316,0,111.1,,0.579,,,,,
317,0,181.0,,0.579,,,,,
318,0,192.6,,0.579,,,,,
319,0,295.9,,0.579,,,,,
320,0,126.3,,0.579,,,,,
321,0,275.7,,0.578,,,,,
322,0,254.8,,0.578,,,,,
323,0,272.6,,0.578,,,,,
324,0,257.6,,0.578,,,,,
325,0,190.8,,0.578,,,,,
326,0,305.2,,0.578,,,,,
327,0,190.9,,0.578,,,,,
328,0,248.3,,0.578,,,,,
329,0,201.2,,0.578,,,,,
330,0,175.4,,0.577,,,,,
331,0,205.9,,0.577,,,,,
332,0,212.9,,0.577,,,,,
333,0,190.3,,0.577,,,,,
334,0,264.1,,0.577,,,,,
335,0,130.3,,0.577,,,,,
336,0,151.2,,0.577,,,,,
337,0,164.1,,0.576,,,,,
338,0,207.6,,0.576,,,,,
339,0,182.5,,0.576,,,,,
340,0,138.1,,0.576,,,,,
341,0,183.9,,0.576,,,,,
342,0,290.4,,0.576,,,,,
343,0,251.5,,0.575,,,,,
344,0,243.7,,0.575,,,,,
345,0,211.7,,0.575,,,,,
346,0,149.4,,0.575,,,,,
347,0,152.8,,0.575,,,,,
348,0,221.8,,0.575,,,,,
349,0,265.2,,0.575,,,,,
350,0,225.1,,0.575,,,,,
351,0,225.9,,0.575,,,,,
352,0,161.0,,0.575,,,,,
353,0,103.4,,0.575,,,,,
354,0,323.8,,0.574,,,,,
355,0,233.5,,0.574,,,,,
356,0,187.9,,0.574,,,,,
357,0,162.8,,0.574,,,,,
358,0,209.2,,0.574,,,,,
359,0,206.4,,0.574,,,,,
360,0,302.6,,0.574,,,,,
361,0,212.7,,0.574,,,,,
362,0,120.4,,0.574,,,,,
363,0,180.5,,0.573,,,,,
364,0,326.3,,0.573,,,,,
365,0,165.9,,0.573,,,,,
366,0,198.2,,0.573,,,,,
367,0,127.4,,0.573,,,,,
368,0,131.7,,0.573,,,,,
369,0,161.1,,0.573,,,,,
370,0,271.8,,0.573,,,,,
371,0,272.5,,0.573,,,,,
372,0,218.6,,0.573,,,,,
373,0,228.8,,0.573,,,,,
374,0,213.8,,0.573,,,,,
375,0,222.5,,0.573,,,,,
376,0,112.5,,0.573,,,,,
377,0,429.1,,0.573,,,,,
378,0,140.8,,0.573,,,,,
379,0,246.8,,0.572,,,,,
380,0,217.1,,0.572,,,,,
381,0,264.9,,0.571,,,,,
382,0,259.2,,0.571,,,,,
383,0,182.4,,0.571,,,,,
384,0,241.6,,0.571,,,,,
385,0,296.9,,0.571,,,,,
386,0,211.4,,0.571,,,,,
387,0,209.8,,0.57,,,,,
388,0,184.9,,0.57,,,,,
389,0,128.1,,0.57,,,,,
390,0,92.1,,0.57,,,,,
391,0,123.3,,0.57,,,,,
392,0,238.3,,0.57,,,,,
393,0,329.4,,0.57,,,,,
394,0,221.0,,0.569,,,,,
395,0,174.8,,0.569,,,,,
396,0,274.5,,0.569,,,,,
397,0,115.9,,0.569,,,,,
398,0,219.9,,0.569,,,,,
399,0,236.5,,0.569,,,,,
400,0,216.6,,0.569,,,,,
401,0,250.7,,0.569,,,,,
402,0,251.3,,0.569,,,,,
403,0,217.0,,0.569,,,,,
404,0,331.9,,0.568,,,,,
405,0,176.1,,0.568,,,,,
406,0,174.9,,0.568,,,,,
407,0,217.5,,0.568,,,,,
408,0,421.1,,0.567,,,,,
409,0,85.2,,0.567,,,,,
410,0,194.5,,0.567,,,,,
411,0,187.7,,0.567,,,,,
412,0,130.7,,0.567,,,,,
413,0,147.7,,0.567,,,,,
414,0,108.0,,0.567,,,,,
415,0,279.3,,0.567,,,,,
416,0,309.4,,0.567,,,,,
417,0,211.6,,0.567,,,,,
418,0,132.7,,0.567,,,,,
419,0,264.9,,0.567,,,,,
420,0,201.4,,0.566,,,,,
421,0,140.5,,0.566,,,,,
422,0,249.8,,0.566,,,,,
423,0,170.9,,0.566,,,,,
424,0,153.9,,0.566,,,,,
425,0,268.5,,0.565,,,,,
426,0,328.4,,0.565,,,,,
427,0,237.8,,0.565,,,,,
428,0,200.2,,0.565,,,,,
429,0,236.2,,0.565,,,,,
430,0,118.8,,0.565,,,,,
431,0,211.0,,0.565,,,,,
432,0,298.3,,0.565,,,,,
433,0,153.9,,0.565,,,,,
434,0,299.9,,0.565,,,,,
435,0,223.2,,0.564,,,,,
436,0,235.2,,0.564,,,,,
437,0,237.2,,0.564,,,,,
438,0,287.9,,0.564,,,,,
439,0,174.6,,0.564,,,,,
440,0,181.9,,0.564,,,,,
441,0,202.9,,0.564,,,,,
442,0,174.3,,0.564,,,,,
443,0,186.7,,0.564,,,,,
444,0,338.1,,0.564,,,,,
445,0,246.4,,0.563,,,,,
446,0,246.2,,0.563,,,,,
447,0,150.3,,0.563,,,,,
448,0,245.6,,0.563,,,,,
449,0,316.2,,0.563,,,,,
450,0,204.3,,0.563,,,,,
451,0,271.7,,0.562,,,,,
452,0,233.9,,0.562,,,,,
453,0,204.0,,0.562,,,,,
454,0,154.8,,0.562,,,,,
455,0,214.6,,0.562,,,,,
456,0,138.3,,0.562,,,,,
457,0,243.4,,0.562,,,,,
458,0,271.5,,0.561,,,,,
459,0,209.5,,0.561,,,,,
460,0,234.7,,0.561,,,,,
461,0,172.8,,0.561,,,,,
462,0,194.4,,0.561,,,,,
463,0,304.5,,0.561,,,,,
464,0,116.1,,0.56,,,,,
465,0,220.8,,0.56,,,,,
466,0,178.6,,0.56,,,,,
467,0,211.9,,0.56,,,,,
468,0,211.3,,0.56,,,,,
469,0,139.8,,0.56,,,,,
470,0,167.3,,0.56,,,,,
471,0,475.1,,0.56,,,,,
472,0,285.3,,0.56,,,,,
473,0,146.3,,0.56,,,,,
474,0,223.5,,0.56,,,,,
475,0,218.4,,0.559,,,,,
476,0,149.4,,0.559,,,,,
477,0,309.1,,0.559,,,,,
478,0,220.0,,0.559,,,,,
479,0,152.5,,0.559,,,,,
480,0,91.3,,0.559,,,,,
481,0,189.3,,0.558,,,,,
482,0,272.9,,0.558,,,,,
483,0,158.2,,0.558,,,,,
484,0,199.4,,0.558,,,,,
485,0,176.7,,0.558,,,,,
486,0,194.3,,0.558,,,,,
487,0,164.7,,0.558,,,,,
488,0,166.9,,0.558,,,,,
489,0,266.4,,0.558,,,,,
490,0,147.7,,0.558,,,,,
491,0,180.0,,0.558,,,,,
492,0,305.7,,0.557,,,,,
493,0,120.4,,0.557,,,,,
494,0,120.3,,0.557,,,,,
495,0,200.5,,0.557,,,,,
496,0,199.9,,0.556,,,,,
497,0,278.3,,0.556,,,,,
498,0,290.3,,0.556,,,,,
499,0,236.4,,0.556,,,,,
500,0,260.5,,0.556,,,,,
501,0,115.6,,0.556,,,,,
502,0,251.2,,0.556,,,,,
503,0,364.7,,0.556,,,,,
504,0,114.6,,0.556,,,,,
505,0,210.2,,0.556,,,,,
506,0,138.4,,0.556,,,,,
507,0,126.8,,0.555,,,,,
508,0,142.3,,0.555,,,,,
509,0,182.5,,0.555,,,,,
510,0,180.1,,0.555,,,,,
511,0,235.0,,0.555,,,,,
512,0,253.6,,0.555,,,,,
513,0,233.0,,0.555,,,,,
514,0,212.2,,0.555,,,,,
515,0,118.5,,0.555,,,,,
516,0,374.9,,0.554,,,,,
517,0,244.0,,0.554,,,,,
518,0,338.9,,0.554,,,,,
519,0,211.8,,0.554,,,,,
520,0,255.4,,0.553,,,,,
521,0,277.8,,0.553,,,,,
522,0,221.4,,0.553,,,,,
523,0,225.2,,0.553,,,,,
524,0,174.2,,0.553,,,,,
525,0,168.6,,0.553,,,,,
526,0,184.6,,0.553,,,,,
527,0,379.0,,0.552,,,,,
528,0,135.7,,0.552,,,,,
529,0,87.4,,0.552,,,,,
530,0,118.4,,0.552,,,,,
531,0,110.0,,0.552,,,,,
532,0,155.1,,0.552,,,,,
533,0,219.0,,0.551,,,,,
534,0,180.6,,0.551,,,,,
535,0,216.3,,0.551,,,,,
536,0,173.4,,0.551,,,,,
537,0,233.2,,0.551,,,,,
538,0,256.7,,0.551,,,,,
539,0,213.0,,0.551,,,,,
540,0,220.0,,0.55,,,,,
541,0,184.5,,0.55,,,,,
542,0,157.7,,0.55,,,,,
543,0,111.8,,0.55,,,,,
544,0,162.4,,0.55,,,,,
545,0,203.7,,0.55,,,,,
546,0,270.2,,0.55,,,,,
547,0,150.2,,0.55,,,,,
548,0,185.3,,0.55,,,,,
549,0,173.6,,0.55,,,,,
550,0,218.3,,0.55,,,,,
551,0,215.6,,0.55,,,,,
552,0,166.1,,0.549,,,,,
553,0,167.7,,0.549,,,,,
554,0,209.5,,0.549,,,,,
555,0,185.2,,0.549,,,,,
556,0,121.4,,0.549,,,,,
557,0,128.4,,0.549,,,,,
558,0,128.0,,0.549,,,,,
559,0,102.3,,0.549,,,,,
560,0,135.2,,0.549,,,,,
561,0,117.7,,0.549,,,,,
562,0,216.5,,0.549,,,,,
563,0,189.6,,0.549,,,,,
564,0,181.3,,0.548,,,,,
565,0,101.1,,0.548,,,,,
566,0,93.4,,0.548,,,,,
567,0,217.1,,0.548,,,,,
